c-0268486-3322572,wichtiges Datum,important dates,,,
c-0369442-7501730,Konferenzbeitrag,conference contribution,,,
c-0436446-0249443,Fachgebiet des Gutachters,review expertise,,,
c-1025534-8292294,geschriebener Beitrag,written contribution,,,
c-1178842-2732173,Mitverfasser eines Beitrags,contribution co-author,,,
c-1308924-1537645,passiver Konferenzteilnehmer,passive conference participant,,,
c-1450635-6067268,Fortschritte der Konferenz,conference proceedings,proceedings,,
c-1479504-0321675,Tutorium,tutorial,,,
c-1521137-1761392,Organisationsausschuss,organizing committee,,,
c-1810344-8487780,erweitertes Zusammenfassung,extended summary,,,
c-1859422-0439299,Aushang,poster,announcement,posting,
c-1859458-4041433,Organisator,organizer,,,
c-2225732-5117501,regulärer Beitrag,regular contribution,,,
c-2326730-6671120,Konferenzbewerber früh gezahlt hat,early paid applicant,,,
c-2365620-6793184,Gutachter,reviewer,expert,,
c-2493179-8478854,Steuerungsausschuss,steering committee,,,
c-2731220-6600456,eingereichter Beitrag,submitted contribution,,,
c-2734491-0275940,Organisation,organization,,,
c-2773011-0249106,stellvertretender Vorsitzender,deputy chairman,,,
c-2807153-3693543,Person,person,,,
c-2852856-4092117,Author eines regulären Beitrags,regular author,,,
c-2883309-0508630,aktiver Konferenzteilnehmer,active conference participant,,,
c-3040625-6424461,eingeladener Referent,invited speaker,,,
c-3096259-3019685,Konferenzbewerber gezahlt hat,paid applicant,,,
c-3407738-8040996,Präsentation,presentation,,,
c-3560304-9366401,Konferenz,conference,meeting,,
c-4481836-1173835,abgelehnter Beitrag,rejected contribution,,,
c-4615338-8666561,Konferenzteilnehmer Beitrag hat,conference contributor,,,
c-4650867-2477948,Angehörige des Ausschusses,committee member,,,
c-4730732-9118818,Internet der Konferenz,internet conference,,,
c-4756237-0913680,Thema,subject,topic,matter,
c-5035120-4059294,registrierter Bewerber,registered applicant,,,
c-5236249-1093814,Workshop,workshop,,,
c-5548459-1019906,Aufruf für Beiträge,call paper,,,
c-5562180-9263139,begutachteter Beitrag,reviewed contribution,,,
c-5636031-1076429,Ablauf der Konferenz,expiry conference,,,
c-5694210-3113803,Konferenzreihe,conference series,,,
c-6041715-6986615,druckfertiger Beitrag,printable contribution,,,
c-6508590-8109709,Gutachten,review,report,certificate,opinion
c-6598246-0855085,Konferenzankündigung,conference announcement,,,
c-6600254-2450629,Zusammenfassung,abstract,summary,,
c-6776566-6732274,Koferenzbewerber,conference applicant,,,
c-6804730-6814876,Informationen für Teilnehmer,information participants,,,
c-6828546-9901709,Präferenz des Gutachters,review preference,,,
c-7096317-3412127,Konferenzgebühren,conference fees,,,
c-7158328-5483937,Vorsitzender,chairman,chair,,
c-7349366-5598642,Herausgeber,publisher,editor,,
